,Match_Winner,HT_buildUpPlaySpeed,HT_buildUpPlayDribbling,HT_buildUpPlayPassing,HT_chanceCreationPassing,HT_chanceCreationCrossing,HT_chanceCreationShooting,HT_defencePressure,HT_defenceAggression,HT_defenceTeamWidth,AT_buildUpPlaySpeed,AT_buildUpPlayDribbling,AT_buildUpPlayPassing,AT_chanceCreationPassing,AT_chanceCreationCrossing,AT_chanceCreationShooting,AT_defencePressure,AT_defenceAggression,AT_defenceTeamWidth
1146,1,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0
1147,1,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0
1148,0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0
1149,0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0
1150,0,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0
1151,0,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0,52.0,42.0,43.0,54.0,56.0,23.0,56.0,62.0,51.0
1152,0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0,57.0,42.0,50.0,48.0,53.0,46.0,51.0,56.0,55.0
1153,1,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0
1154,0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0
1155,1,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0,48.0,55.0,53.0,49.0,66.0,38.0,57.0,47.0,61.0
1156,1,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0
1157,1,61.0,61.0,52.0,56.0,51.0,49.0,44.0,55.0,48.0,58.0,55.0,52.0,48.0,64.0,52.0,48.0,51.0,49.0
1158,1,63.0,37.0,58.0,42.0,56.0,36.0,49.0,47.0,49.0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0
1159,1,45.0,36.0,43.0,68.0,52.0,64.0,59.0,42.0,48.0,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0
1160,1,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0
1161,0,55.0,48.0,49.0,46.0,54.0,53.0,39.0,46.0,42.0,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0
1162,1,52.0,42.0,43.0,54.0,56.0,23.0,56.0,62.0,51.0,49.0,56.0,53.0,52.0,34.0,36.0,36.0,45.0,49.0
1163,0,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0,49.0,47.0,34.0,62.0,61.0,35.0,57.0,53.0,56.0
1164,1,51.0,40.0,48.0,49.0,63.0,44.0,57.0,52.0,49.0,63.0,70.0,56.0,52.0,55.0,46.0,39.0,41.0,52.0
1165,1,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0
1166,0,58.0,35.0,56.0,52.0,61.0,51.0,47.0,43.0,50.0,48.0,37.0,49.0,48.0,52.0,58.0,33.0,44.0,50.0
1167,0,64.0,44.0,50.0,49.0,53.0,46.0,46.0,44.0,49.0,54.0,43.0,65.0,48.0,49.0,45.0,53.0,56.0,48.0
1168,1,51.0,77.0,41.0,49.0,69.0,31.0,48.0,48.0,60.0,52.0,42.0,43.0,54.0,56.0,23.0,56.0,62.0,51.0
